category	module	class	method	patch_status	restore_status	source_file	source_line	signature
request_runtime	vllm.v1.engine.core	EngineCore	add_request	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/engine/core.py	291	(self, request: vllm.v1.request.Request, request_wave: int = 0)
request_runtime	vllm.v1.engine.core	EngineCore	post_step	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/engine/core.py	409	(self, model_executed: bool) -> None
request_runtime	vllm.v1.engine.core	EngineCore	preprocess_add_request	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/engine/core.py	735	(self, request: vllm.v1.engine.EngineCoreRequest) -> tuple[vllm.v1.request.Request, int]
request_runtime	vllm.v1.engine.core	EngineCore	step	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/engine/core.py	378	(self) -> tuple[dict[int, vllm.v1.engine.EngineCoreOutputs], bool]
request_runtime	vllm.v1.engine.core	EngineCore	step_with_batch_queue	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/engine/core.py	419	(self) -> tuple[dict[int, vllm.v1.engine.EngineCoreOutputs] | None, bool]
request_runtime	vllm.v1.engine.async_llm	AsyncLLM	_add_request	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/engine/async_llm.py	405	(self, request: vllm.v1.engine.EngineCoreRequest, prompt: str | None, parent_req: vllm.v1.engine.parallel_sampling.ParentRequest | None, index: int, queue: vllm.v1.engine.output_processor.RequestOutputCollector)
request_runtime	vllm.v1.engine.async_llm	AsyncLLM	_run_output_handler	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/engine/async_llm.py	640	(self)
request_runtime	vllm.v1.engine.async_llm	AsyncLLM	add_request	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/engine/async_llm.py	288	(self, request_id: str, prompt: vllm.v1.engine.EngineCoreRequest | str | vllm.inputs.data.TextPrompt | list[int] | vllm.inputs.data.TokensPrompt | vllm.inputs.data.EmbedsPrompt | vllm.inputs.data.ExplicitEncoderDecoderPrompt | vllm.inputs.data.TokenInputs | vllm.inputs.data.EmbedsInputs | object | vllm.inputs.data.EncoderDecoderInputs | collections.abc.AsyncGenerator[vllm.engine.protocol.StreamingInput, None], params: vllm.sampling_params.SamplingParams | vllm.pooling_params.PoolingParams, arrival_time: float | None = None, lora_request: vllm.lora.request.LoRARequest | None = None, tokenization_kwargs: dict[str, typing.Any] | None = None, trace_headers: collections.abc.Mapping[str, str] | None = None, priority: int = 0, data_parallel_rank: int | None = None, prompt_text: str | None = None, reasoning_ended: bool | None = None) -> vllm.v1.engine.output_processor.RequestOutputCollector
request_runtime	vllm.v1.engine.async_llm	AsyncLLM	generate	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/engine/async_llm.py	529	(self, prompt: vllm.v1.engine.EngineCoreRequest | str | vllm.inputs.data.TextPrompt | list[int] | vllm.inputs.data.TokensPrompt | vllm.inputs.data.EmbedsPrompt | vllm.inputs.data.ExplicitEncoderDecoderPrompt | vllm.inputs.data.TokenInputs | vllm.inputs.data.EmbedsInputs | object | vllm.inputs.data.EncoderDecoderInputs | collections.abc.AsyncGenerator[vllm.engine.protocol.StreamingInput, None], sampling_params: vllm.sampling_params.SamplingParams, request_id: str, *, prompt_text: str | None = None, lora_request: vllm.lora.request.LoRARequest | None = None, tokenization_kwargs: dict[str, typing.Any] | None = None, trace_headers: collections.abc.Mapping[str, str] | None = None, priority: int = 0, data_parallel_rank: int | None = None, reasoning_ended: bool | None = None) -> collections.abc.AsyncGenerator[vllm.outputs.RequestOutput, None]
request_runtime	vllm.v1.engine.llm_engine	LLMEngine	add_request	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/engine/llm_engine.py	216	(self, request_id: str, prompt: vllm.v1.engine.EngineCoreRequest | str | vllm.inputs.data.TextPrompt | list[int] | vllm.inputs.data.TokensPrompt | vllm.inputs.data.EmbedsPrompt | vllm.inputs.data.ExplicitEncoderDecoderPrompt | vllm.inputs.data.TokenInputs | vllm.inputs.data.EmbedsInputs | object | vllm.inputs.data.EncoderDecoderInputs, params: vllm.sampling_params.SamplingParams | vllm.pooling_params.PoolingParams, arrival_time: float | None = None, lora_request: vllm.lora.request.LoRARequest | None = None, tokenization_kwargs: dict[str, typing.Any] | None = None, trace_headers: collections.abc.Mapping[str, str] | None = None, priority: int = 0, prompt_text: str | None = None) -> str
request_runtime	vllm.v1.engine.llm_engine	LLMEngine	step	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/engine/llm_engine.py	294	(self) -> list[vllm.outputs.RequestOutput | vllm.outputs.PoolingRequestOutput]
scheduler	vllm.v1.core.sched.scheduler	Scheduler	_try_schedule_encoder_inputs	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/core/sched/scheduler.py	1088	(self, request: vllm.v1.request.Request, num_computed_tokens: int, num_new_tokens: int, encoder_compute_budget: int, shift_computed_tokens: int = 0) -> tuple[list[int], int, int, list[int]]
scheduler	vllm.v1.core.sched.scheduler	Scheduler	_update_after_schedule	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/core/sched/scheduler.py	951	(self, scheduler_output: vllm.v1.core.sched.output.SchedulerOutput) -> None
scheduler	vllm.v1.core.sched.scheduler	Scheduler	schedule	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/core/sched/scheduler.py	338	(self) -> vllm.v1.core.sched.output.SchedulerOutput
scheduler	vllm.v1.core.sched.scheduler	Scheduler	update_from_output	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/core/sched/scheduler.py	1275	(self, scheduler_output: vllm.v1.core.sched.output.SchedulerOutput, model_runner_output: vllm.v1.outputs.ModelRunnerOutput) -> dict[int, vllm.v1.engine.EngineCoreOutputs]
model_execute	vllm.v1.worker.gpu_model_runner	GPUModelRunner	_copy_valid_sampled_token_count	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/worker/gpu_model_runner.py	4193	(self, next_token_ids: torch.Tensor, valid_sampled_tokens_count: torch.Tensor) -> None
model_execute	vllm.v1.worker.gpu_model_runner	GPUModelRunner	_dummy_sampler_run	patched_in_process	restored	/data/node0_disk1/liguowei/AK-Infer-Lab/.conda/envs/ak-infer-lab/lib/python3.11/site-packages/torch/utils/_contextlib.py	5291	(self, hidden_states: torch.Tensor) -> torch.Tensor
model_execute	vllm.v1.worker.gpu_model_runner	GPUModelRunner	_get_valid_sampled_token_count	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/worker/gpu_model_runner.py	4212	(self) -> list[int]
model_execute	vllm.v1.worker.gpu_model_runner	GPUModelRunner	_pp_broadcast_prev_sampled_token_ids	patched_in_process	restored	/data/node0_disk1/vllm/vllm/v1/worker/gpu_model_runner.py	4104	(self, sampled_token_ids: torch.Tensor) -> None
